transaction_id,amount,hour,country_risk,card_present,days_ago,label,split
tx001,24.50,10,0.05,1,2,0,train
tx002,61.20,14,0.10,1,4,0,train
tx003,15.00,9,0.08,1,7,0,train
tx004,89.90,18,0.15,1,10,0,train
tx005,42.30,12,0.12,0,12,0,train
tx006,310.00,1,0.92,0,1,1,train
tx007,480.50,23,0.85,0,3,1,train
tx008,225.75,2,0.78,0,5,1,train
tx009,650.00,0,0.95,0,8,1,train
tx010,185.40,22,0.72,0,15,1,train
tx011,33.10,11,0.07,1,6,0,test
tx012,74.80,16,0.18,1,9,0,test
tx013,51.00,13,0.11,0,11,0,test
tx014,275.20,1,0.88,0,2,1,test
tx015,520.00,23,0.90,0,4,1,test
tx016,198.60,3,0.76,0,14,1,test
tx017,19.80,8,0.05,1,40,0,train
